avg_pay_amt	avg_pay_amt_weekdays	avg_pay_amt_weekends
70.0	70.0	57.0
42.5	28.9	57.0
32.5	32.5	32.5
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	21.7
14.5	14.5	14.5
14.5	14.5	14.5
42.5	28.9	57.0
70.0	70.0	70.0
32.5	32.5	42.5
32.5	42.5	32.5
42.5	42.5	42.5
42.5	28.9	57.0
14.5	14.5	14.5
14.5	14.5	32.5
57.0	57.0	57.0
70.0	57.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
57.0	57.0	57.0
42.5	28.9	57.0
32.5	14.5	42.5
32.5	32.5	32.5
42.5	42.5	42.5
57.0	57.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
57.0	57.0	57.0
14.5	14.5	14.5
42.5	42.5	32.5
70.0	70.0	70.0
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
42.5	42.5	42.5
32.5	32.5	42.5
14.5	14.5	14.5
57.0	42.5	42.5
70.0	70.0	70.0
70.0	70.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
57.0	57.0	70.0
32.5	32.5	14.5
70.0	70.0	70.0
32.5	32.5	14.5
14.5	14.5	14.5
32.5	32.5	42.5
70.0	70.0	70.0
70.0	70.0	70.0
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
14.5	14.5	14.5
32.5	32.5	32.5
57.0	57.0	59.6
42.5	42.5	42.5
32.5	32.5	32.5
57.0	57.0	70.0
32.5	14.5	32.5
42.5	42.5	42.5
57.0	57.0	70.0
70.0	70.0	70.0
42.5	42.5	42.5
14.5	14.5	21.7
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
42.5	32.5	42.5
42.5	42.5	32.5
32.5	32.5	32.5
70.0	70.0	70.0
14.5	14.5	32.5
32.5	32.5	14.5
32.5	32.5	32.5
32.5	32.5	14.5
57.0	57.0	57.0
70.0	70.0	70.0
32.5	32.5	32.5
32.5	32.5	32.5
42.5	42.5	42.5
32.5	32.5	42.5
57.0	57.0	70.0
70.0	70.0	70.0
57.0	57.0	57.0
57.0	57.0	70.0
42.5	32.5	42.5
57.0	57.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
32.5	32.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
32.5	32.5	32.5
32.5	14.5	32.5
14.5	14.5	14.5
57.0	57.0	57.0
70.0	70.0	70.0
42.5	42.5	42.5
32.5	32.5	42.5
57.0	57.0	70.0
57.0	57.0	57.0
57.0	42.5	42.5
32.5	42.5	14.5
42.5	42.5	42.5
57.0	42.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
57.0	57.0	57.0
14.5	14.5	14.5
57.0	57.0	57.0
57.0	57.0	57.0
42.5	28.9	57.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	32.5
32.5	14.5	42.5
57.0	57.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
70.0	57.0	70.0
42.5	42.5	42.5
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	14.5
14.5	14.5	14.5
70.0	70.0	70.0
57.0	57.0	57.0
57.0	57.0	57.0
57.0	57.0	57.0
57.0	57.0	57.0
14.5	14.5	14.5
70.0	70.0	70.0
70.0	70.0	70.0
32.5	32.5	32.5
32.5	32.5	14.5
57.0	57.0	57.0
70.0	70.0	70.0
57.0	57.0	57.0
70.0	70.0	70.0
42.5	42.5	32.5
42.5	42.5	42.5
70.0	70.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
42.5	42.5	42.5
32.5	32.5	14.5
42.5	42.5	42.5
70.0	70.0	70.0
14.5	14.5	14.5
57.0	57.0	57.0
32.5	32.5	42.5
70.0	70.0	70.0
42.5	42.5	42.5
57.0	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
70.0	70.0	70.0
42.5	32.5	42.5
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
57.0	57.0	70.0
14.5	14.5	14.5
14.5	32.5	14.5
42.5	42.5	42.5
42.5	42.5	42.5
42.5	28.9	57.0
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
42.5	28.9	57.0
70.0	70.0	70.0
32.5	32.5	32.5
57.0	42.5	42.5
42.5	42.5	42.5
42.5	42.5	42.5
32.5	14.5	32.5
32.5	32.5	32.5
14.5	14.5	14.5
57.0	57.0	57.0
42.5	32.5	57.0
70.0	70.0	57.0
70.0	70.0	70.0
57.0	57.0	57.0
57.0	57.0	57.0
14.5	14.5	14.5
32.5	32.5	32.5
42.5	42.5	42.5
32.5	32.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
57.0	57.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
32.5	32.5	42.5
42.5	42.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
70.0	70.0	57.0
42.5	28.9	57.0
70.0	57.0	70.0
14.5	14.5	14.5
57.0	42.5	42.5
32.5	14.5	32.5
32.5	32.5	32.5
57.0	57.0	57.0
70.0	70.0	70.0
57.0	57.0	57.0
57.0	57.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
14.5	14.5	14.5
14.5	14.5	21.7
57.0	57.0	57.0
57.0	57.0	57.0
42.5	28.9	57.0
14.5	14.5	14.5
42.5	42.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
14.5	14.5	14.5
57.0	57.0	57.0
57.0	57.0	57.0
14.5	14.5	14.5
57.0	70.0	57.0
70.0	70.0	70.0
57.0	57.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
42.5	42.5	42.5
42.5	25.3	70.0
42.5	28.9	57.0
32.5	42.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
32.5	32.5	32.5
32.5	14.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
70.0	57.0	70.0
70.0	70.0	70.0
70.0	70.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	32.5
57.0	57.0	57.0
32.5	42.5	14.5
14.5	14.5	14.5
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	42.5
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
14.5	14.5	14.5
32.5	14.5	32.5
42.5	28.9	57.0
42.5	32.5	57.0
14.5	14.5	14.5
14.5	14.5	14.5
32.5	32.5	14.5
14.5	14.5	32.5
70.0	70.0	70.0
70.0	70.0	70.0
32.5	32.5	32.5
70.0	57.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
32.5	32.5	32.5
14.5	14.5	14.5
42.5	42.5	42.5
32.5	32.5	32.5
42.5	42.5	42.5
32.5	32.5	42.5
70.0	57.0	70.0
14.5	14.5	32.5
70.0	70.0	70.0
70.0	70.0	70.0
42.5	42.5	42.5
70.0	57.0	70.0
14.5	14.5	14.5
42.5	42.5	42.5
32.5	32.5	32.5
42.5	42.5	42.5
70.0	70.0	57.0
14.5	14.5	14.5
32.5	32.5	32.5
42.5	42.5	32.5
57.0	57.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
42.5	42.5	42.5
42.5	42.5	42.5
42.5	28.9	57.0
42.5	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
57.0	57.0	57.0
14.5	14.5	14.5
14.5	32.5	14.5
32.5	32.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
42.5	42.5	42.5
70.0	70.0	70.0
32.5	32.5	32.5
42.5	28.9	57.0
14.5	14.5	14.5
42.5	42.5	42.5
42.5	42.5	42.5
57.0	57.0	57.0
57.0	42.5	42.5
14.5	14.5	14.5
42.5	28.9	57.0
70.0	70.0	70.0
57.0	42.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
70.0	70.0	70.0
70.0	70.0	70.0
42.5	32.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	32.5
14.5	14.5	14.5
42.5	42.5	42.5
42.5	42.5	32.5
42.5	42.5	42.5
57.0	57.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	32.5
70.0	70.0	70.0
32.5	32.5	32.5
70.0	70.0	70.0
57.0	57.0	57.0
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
42.5	42.5	42.5
57.0	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
57.0	57.0	57.0
70.0	70.0	70.0
57.0	57.0	57.0
42.5	32.5	42.5
32.5	32.5	42.5
14.5	14.5	14.5
42.5	42.5	42.5
32.5	14.5	32.5
42.5	42.5	42.5
70.0	70.0	70.0
57.0	57.0	70.0
42.5	42.5	42.5
57.0	42.5	42.5
57.0	42.5	42.5
70.0	70.0	70.0
32.5	14.5	32.5
70.0	70.0	70.0
32.5	32.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
42.5	42.5	42.5
57.0	57.0	70.0
32.5	32.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
57.0	57.0	57.0
70.0	70.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
32.5	14.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
42.5	42.5	42.5
42.5	42.5	42.5
42.5	42.5	42.5
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
70.0	70.0	57.0
14.5	14.5	14.5
70.0	70.0	70.0
70.0	57.0	70.0
42.5	42.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
42.5	28.9	57.0
32.5	32.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
32.5	32.5	42.5
70.0	70.0	70.0
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
32.5	32.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
32.5	32.5	42.5
57.0	57.0	57.0
14.5	14.5	32.5
42.5	42.5	42.5
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	28.9	57.0
32.5	32.5	32.5
14.5	14.5	14.5
42.5	42.5	42.5
42.5	28.9	57.0
14.5	14.5	14.5
57.0	57.0	57.0
70.0	70.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
14.5	14.5	32.5
42.5	28.9	57.0
32.5	32.5	32.5
42.5	42.5	42.5
70.0	70.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
42.5	28.9	57.0
57.0	57.0	57.0
70.0	70.0	70.0
42.5	28.9	57.0
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
42.5	42.5	32.5
14.5	14.5	14.5
57.0	57.0	57.0
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	70.0
57.0	57.0	57.0
57.0	42.5	42.5
70.0	70.0	70.0
70.0	70.0	70.0
42.5	42.5	42.5
57.0	42.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
70.0	70.0	70.0
42.5	28.9	57.0
42.5	42.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
57.0	42.5	42.5
57.0	57.0	57.0
70.0	70.0	70.0
32.5	14.5	32.5
42.5	42.5	42.5
57.0	57.0	70.0
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	70.0
32.5	14.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
32.5	14.5	42.5
70.0	70.0	67.4
70.0	70.0	57.0
42.5	42.5	42.5
42.5	42.5	32.5
42.5	28.9	57.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	32.5
14.5	14.5	14.5
57.0	70.0	57.0
14.5	14.5	32.5
14.5	14.5	14.5
70.0	42.5	42.5
14.5	14.5	32.5
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
32.5	42.5	14.5
14.5	14.5	14.5
42.5	42.5	32.5
57.0	57.0	57.0
32.5	32.5	32.5
32.5	32.5	32.5
32.5	32.5	32.5
70.0	70.0	70.0
32.5	32.5	42.5
14.5	14.5	32.5
70.0	70.0	70.0
57.0	57.0	57.0
57.0	57.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
57.0	42.5	42.5
14.5	14.5	14.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	32.5
32.5	32.5	32.5
57.0	57.0	70.0
70.0	70.0	70.0
14.5	14.5	32.5
70.0	70.0	70.0
70.0	70.0	57.0
42.5	42.5	32.5
14.5	14.5	14.5
57.0	57.0	70.0
14.5	14.5	14.5
42.5	42.5	42.5
32.5	32.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
32.5	32.5	32.5
70.0	70.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
32.5	32.5	14.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	28.9
57.0	42.5	42.5
57.0	57.0	57.0
42.5	42.5	42.5
57.0	57.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
32.5	32.5	42.5
42.5	42.5	42.5
57.0	57.0	57.0
14.5	14.5	14.5
42.5	42.5	42.5
32.5	32.5	14.5
42.5	42.5	32.5
14.5	14.5	14.5
70.0	70.0	57.0
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	32.5
32.5	32.5	32.5
32.5	32.5	32.5
57.0	57.0	57.0
57.0	57.0	57.0
14.5	14.5	14.5
32.5	32.5	14.5
70.0	70.0	70.0
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
42.5	42.5	42.5
32.5	32.5	32.5
57.0	57.0	57.0
14.5	14.5	14.5
57.0	57.0	57.0
42.5	42.5	42.5
70.0	70.0	70.0
32.5	14.5	32.5
57.0	42.5	42.5
57.0	70.0	57.0
70.0	70.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
70.0	70.0	70.0
57.0	57.0	57.0
42.5	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
70.0	70.0	70.0
57.0	57.0	57.0
42.5	32.5	42.5
70.0	70.0	70.0
70.0	70.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	14.5
70.0	70.0	70.0
57.0	57.0	70.0
14.5	14.5	14.5
42.5	42.5	32.5
14.5	14.5	14.5
14.5	14.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
32.5	32.5	32.5
14.5	14.5	32.5
57.0	57.0	57.0
32.5	32.5	32.5
14.5	14.5	14.5
32.5	32.5	42.5
32.5	32.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
57.0	57.0	57.0
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
57.0	57.0	57.0
42.5	42.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	42.5	32.5
57.0	57.0	57.0
57.0	57.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
32.5	14.5	32.5
42.5	28.9	57.0
32.5	32.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
70.0	70.0	70.0
42.5	28.9	57.0
42.5	42.5	42.5
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
32.5	32.5	32.5
32.5	14.5	32.5
70.0	70.0	70.0
70.0	70.0	70.0
57.0	57.0	57.0
32.5	32.5	32.5
32.5	32.5	32.5
32.5	32.5	42.5
14.5	14.5	14.5
32.5	32.5	14.5
14.5	32.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	70.0
70.0	70.0	70.0
57.0	70.0	57.0
14.5	14.5	14.5
14.5	14.5	32.5
14.5	14.5	14.5
32.5	32.5	32.5
32.5	14.5	57.0
42.5	42.5	42.5
32.5	32.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
14.5	14.5	32.5
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
57.0	57.0	70.0
14.5	14.5	32.5
42.5	42.5	42.5
70.0	70.0	70.0
32.5	32.5	32.5
42.5	42.5	42.5
14.5	14.5	14.5
42.5	42.5	32.5
32.5	32.5	32.5
57.0	57.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
70.0	70.0	70.0
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	42.5
70.0	70.0	70.0
32.5	32.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
14.5	32.5	14.5
42.5	32.5	42.5
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
14.5	32.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
70.0	70.0	70.0
42.5	42.5	42.5
42.5	42.5	42.5
57.0	57.0	57.0
14.5	14.5	14.5
32.5	14.5	42.5
42.5	28.9	57.0
57.0	70.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
57.0	57.0	57.0
57.0	57.0	57.0
57.0	57.0	57.0
42.5	42.5	42.5
32.5	32.5	32.5
14.5	14.5	57.0
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
32.5	32.5	32.5
14.5	14.5	14.5
42.5	42.5	42.5
42.5	32.5	42.5
70.0	70.0	70.0
42.5	42.5	32.5
42.5	28.9	57.0
32.5	32.5	32.5
32.5	32.5	32.5
42.5	42.5	42.5
57.0	70.0	57.0
14.5	32.5	14.5
32.5	32.5	32.5
42.5	42.5	42.5
57.0	57.0	57.0
14.5	14.5	14.5
57.0	57.0	57.0
42.5	42.5	42.5
70.0	70.0	70.0
42.5	42.5	42.5
70.0	70.0	70.0
42.5	32.5	42.5
32.5	32.5	14.5
57.0	57.0	57.0
32.5	32.5	32.5
57.0	57.0	57.0
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
32.5	32.5	57.0
32.5	32.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
70.0	57.0	70.0
14.5	14.5	14.5
57.0	57.0	70.0
14.5	14.5	14.5
70.0	57.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
42.5	28.9	57.0
57.0	57.0	57.0
70.0	70.0	70.0
57.0	70.0	57.0
57.0	57.0	57.0
14.5	14.5	14.5
57.0	57.0	57.0
32.5	32.5	14.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
57.0	57.0	57.0
42.5	28.9	57.0
14.5	14.5	14.5
42.5	42.5	32.5
42.5	42.5	32.5
14.5	14.5	14.5
32.5	32.5	42.5
70.0	70.0	70.0
70.0	70.0	70.0
32.5	32.5	14.5
70.0	70.0	70.0
57.0	57.0	57.0
42.5	42.5	42.5
70.0	70.0	57.0
70.0	70.0	70.0
57.0	42.5	42.5
32.5	32.5	32.5
32.5	32.5	28.9
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
57.0	57.0	70.0
42.5	28.9	57.0
32.5	32.5	32.5
57.0	57.0	70.0
32.5	32.5	32.5
57.0	57.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
14.5	14.5	32.5
32.5	14.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
42.5	28.9	57.0
70.0	70.0	70.0
57.0	57.0	57.0
14.5	14.5	14.5
42.5	28.9	57.0
42.5	28.9	57.0
70.0	70.0	70.0
32.5	32.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
70.0	70.0	70.0
57.0	42.5	42.5
70.0	70.0	70.0
32.5	32.5	32.5
32.5	32.5	14.5
14.5	14.5	32.5
70.0	70.0	70.0
32.5	32.5	14.5
14.5	14.5	14.5
57.0	57.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	42.5
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
70.0	57.0	70.0
32.5	14.5	32.5
42.5	42.5	42.5
32.5	32.5	42.5
42.5	28.9	57.0
70.0	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
42.5	42.5	42.5
57.0	57.0	57.0
57.0	57.0	70.0
14.5	14.5	14.5
42.5	42.5	42.5
42.5	42.5	42.5
32.5	32.5	32.5
70.0	70.0	70.0
32.5	32.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
57.0	57.0	57.0
57.0	42.5	42.5
57.0	57.0	57.0
57.0	57.0	57.0
42.5	42.5	42.5
42.5	42.5	42.5
32.5	32.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
70.0	70.0	70.0
32.5	32.5	32.5
57.0	57.0	57.0
42.5	28.9	57.0
70.0	70.0	70.0
70.0	70.0	70.0
57.0	57.0	70.0
70.0	70.0	70.0
57.0	57.0	57.0
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
32.5	32.5	32.5
42.5	32.5	42.5
70.0	70.0	70.0
57.0	57.0	70.0
14.5	14.5	14.5
32.5	32.5	42.5
32.5	32.5	32.5
57.0	42.5	42.5
57.0	57.0	57.0
42.5	28.9	57.0
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
57.0	42.5	42.5
42.5	42.5	42.5
70.0	70.0	57.0
42.5	28.9	57.0
57.0	57.0	57.0
70.0	57.0	70.0
14.5	14.5	32.5
14.5	14.5	14.5
70.0	70.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
57.0	57.0	70.0
32.5	32.5	32.5
42.5	42.5	42.5
70.0	70.0	70.0
14.5	14.5	14.5
42.5	42.5	42.5
32.5	32.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
57.0	42.5	42.5
42.5	42.5	42.5
57.0	57.0	57.0
32.5	32.5	42.5
70.0	70.0	70.0
14.5	14.5	14.5
70.0	70.0	57.0
70.0	70.0	70.0
42.5	28.9	57.0
42.5	42.5	42.5
32.5	32.5	32.5
42.5	28.9	57.0
42.5	42.5	32.5
42.5	28.9	57.0
42.5	42.5	42.5
14.5	14.5	14.5
57.0	57.0	57.0
42.5	42.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
32.5	32.5	32.5
70.0	70.0	70.0
32.5	32.5	32.5
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
57.0	57.0	57.0
42.5	42.5	42.5
57.0	57.0	57.0
57.0	42.5	42.5
42.5	42.5	42.5
70.0	70.0	70.0
14.5	32.5	14.5
32.5	32.5	32.5
32.5	32.5	32.5
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
42.5	28.9	57.0
42.5	42.5	42.5
32.5	32.5	32.5
42.5	42.5	42.5
14.5	14.5	32.5
32.5	32.5	42.5
32.5	32.5	32.5
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	32.5
32.5	14.5	32.5
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
32.5	32.5	42.5
32.5	32.5	32.5
70.0	70.0	70.0
42.5	42.5	42.5
57.0	57.0	70.0
14.5	14.5	14.5
14.5	32.5	14.5
42.5	40.5	42.5
42.5	42.5	42.5
57.0	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
14.5	14.5	14.5
32.5	32.5	32.5
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	70.0
70.0	70.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	28.9	57.0
42.5	42.5	32.5
42.5	42.5	42.5
42.5	32.5	42.5
70.0	57.0	70.0
32.5	32.5	32.5
32.5	32.5	32.5
32.5	32.5	32.5
32.5	42.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
14.5	14.5	14.5
57.0	57.0	57.0
14.5	14.5	14.5
14.5	14.5	14.5
32.5	32.5	32.5
57.0	57.0	57.0
14.5	14.5	14.5
70.0	70.0	70.0
57.0	57.0	57.0
42.5	28.9	57.0
14.5	14.5	14.5
14.5	14.5	14.5
32.5	32.5	42.5
57.0	57.0	57.0
57.0	57.0	57.0
14.5	14.5	14.5
32.5	32.5	42.5
32.5	32.5	32.5
57.0	57.0	70.0
42.5	42.5	42.5
32.5	32.5	32.5
70.0	70.0	70.0
14.5	14.5	14.5
42.5	42.5	42.5
14.5	14.5	14.5
42.5	42.5	42.5
32.5	32.5	32.5
57.0	57.0	70.0
14.5	14.5	14.5
14.5	14.5	14.5
42.5	42.5	42.5
57.0	57.0	70.0
32.5	14.5	32.5
14.5	14.5	32.5
42.5	42.5	42.5
32.5	32.5	32.5
42.5	42.5	42.5
42.5	42.5	42.5
32.5	32.5	32.5
32.5	14.5	57.0
42.5	42.5	42.5
32.5	32.5	28.9
57.0	57.0	57.0
70.0	70.0	70.0
70.0	70.0	70.0
42.5	25.3	70.0
42.5	42.5	42.5
70.0	67.4	70.0
70.0	57.0	70.0
32.5	32.5	32.5
14.5	14.5	14.5
57.0	57.0	57.0
32.5	14.5	32.5
14.5	14.5	14.5
32.5	32.5	32.5
70.0	57.0	70.0
57.0	57.0	57.0
70.0	70.0	57.0
57.0	57.0	57.0
42.5	25.3	70.0
42.5	42.5	42.5
57.0	57.0	57.0
70.0	70.0	70.0
14.5	14.5	14.5
70.0	57.0	70.0
42.5	42.5	42.5
14.5	14.5	14.5
70.0	70.0	70.0
